name,sumPlacement,amountJoined,amountTopped
Zariouqe,13,1,0
Gio Brando,13,1,0
LexoRom,17,1,0
Val,17,1,0
Hrist,17,1,0
V3rgetur3,17,1,0
Kichiro,17,1,0
Boya,17,1,0
Uncivil lion,17,1,0
Glow,17,1,0
Metal,25,1,0
Ariisu,25,1,0
Palouse51,25,1,0
Nanou,25,1,0
Alu,25,1,0
elo,25,1,0
Dyl,25,1,0
rgb,25,1,0
Flojirok,33,1,0
Altrex,33,1,0
LEST,33,1,0
Exkka,33,1,0
Nounouye,33,1,0
Médol,33,1,0
| Sen,33,1,0
ploiw,33,1,0
RadikalRay,33,1,0
Nixx,33,1,0
Ez,36,2,1
Bushido7,33,1,0
$picy,33,1,0
Olex,33,1,0
Anzu,33,1,0
D4MI,33,1,0
Levø,49,1,0
Hapi,49,1,0
BuseVape,49,1,0
EZ,49,1,0
Cotty,49,1,0
Luugi,1,1,1
Raime,2,1,1
RMH Henryk,9,2,2
Agent,4,1,1
Tarik,5,1,1
Gigglezz,5,1,1
honey_o,14,2,2
SP1,7,1,1
Xcurr but who?,9,1,0
snowglobes,9,1,0
Some Absol,9,1,0
Hareta,9,1,0
Selkie !,13,1,0
DanteX2o,13,1,0
Lactuas,13,1,0
doperman,13,1,0
ElSantoGTZ,17,1,0
Chiken2020,17,1,0
Nezz,17,1,0
Noxumbra,17,1,0
JoyKong,17,1,0
Spag,17,1,0
AirborneArcher,17,1,0
Wing,17,1,0
BaconBeard,25,1,0
TooN,25,1,0
Coolkingz,58,2,0
Beast King,50,2,0
Shikamounty,25,1,0
Plagio .-.,25,1,0
lukeydowell,25,1,0
Sapphire99,58,2,0
TheFieldWarrior,33,1,0
SS11,58,2,0
noname536,33,1,0
Pires,33,1,0
Typh,82,2,0
Bengus,66,2,0
Paky,66,2,0
Shish,33,1,0
Darki,58,2,0
Mbp,33,1,0
GameGater,82,2,0
Jeanne,33,1,0
SPLAT,33,1,0
SquidSnipe,33,1,0
Osamudiame,46,2,0
Ozzmaniac,50,2,0
Strega,49,1,0
Randm,49,1,0
iambruh,98,2,0
UnityFTW,49,1,0
piss,49,1,0
H,49,1,0
EniTheKid,49,1,0
Kaan,49,1,0
Zetsubo,49,1,0
TheDaddySpice,49,1,0
Skill^2,49,1,0
Kretin,49,1,0
Sma,49,1,0
EuanTheBest,49,1,0
Snoc,49,1,0
Gemini,49,1,0
DeltaNS,114,2,0
BIRDSSSS,90,2,0
Splendour,65,1,0
Hannibum,65,1,0
Bloofey,65,1,0
High_T,65,1,0
